"Alan Broad",,,,
"Allan Davies",,,,
"Andrew Gordon","Q75712707","2019 United Kingdom general election","Basildon and Billericay","Labour Party"
"Antonia Harrison","Q75838991","2019 United Kingdom general election","Portsmouth North","Liberal Democrats"
"Edward Sainsbury","Q76738133","2019 United Kingdom general election","Basildon and Billericay","Liberal Democrats"
"Gavin Callaghan",,,,
"George Konstantinidis",,,,
"Irene Bateman",,,,
"Kayte Block",,,,
"Martin Thompson",,,,
"Mike Hibbs","Q75838638","2019 United Kingdom general election","Saffron Walden","Liberal Democrats"
"Simon Breedon","Q76131144","2019 United Kingdom general election","Basildon and Billericay","Social Democratic Party"
"Stewart Goshawk","Q75975681","2019 United Kingdom general election","Basildon and Billericay","Green Party of England and Wales"
"Tina Hughes",,,,
